epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202139,2021-10-02,576,RJ,Rio de Janeiro,3304557,city,484433,7179.10909,22964,34102,971,0.0704,6747815,True,False
202137,2021-09-16,560,RJ,Rio de Janeiro,3304557,city,461469,6838.79152,225,33131,86,0.0718,6747815,False,False
202137,2021-09-15,559,RJ,Rio de Janeiro,3304557,city,461244,6835.45711,8924,33045,881,0.0716,6747815,False,False
202135,2021-09-02,546,RJ,Rio de Janeiro,3304557,city,452320,6703.20689,1944,32164,73,0.0711,6747815,False,False
202135,2021-09-01,545,RJ,Rio de Janeiro,3304557,city,450376,6674.39756,1874,32091,91,0.0713,6747815,False,False
202135,2021-08-31,544,RJ,Rio de Janeiro,3304557,city,448502,6646.62561,2332,32000,113,0.0713,6747815,False,False
202135,2021-08-30,543,RJ,Rio de Janeiro,3304557,city,446170,6612.06628,245,31887,3,0.0715,6747815,False,False
202135,2021-08-29,542,RJ,Rio de Janeiro,3304557,city,445925,6608.43547,508,31884,4,0.0715,6747815,False,False
202134,2021-08-28,541,RJ,Rio de Janeiro,3304557,city,445417,6600.90711,2102,31880,81,0.0716,6747815,False,False
202134,2021-08-27,540,RJ,Rio de Janeiro,3304557,city,443315,6569.75628,2237,31799,36,0.0717,6747815,False,False
202134,2021-08-26,539,RJ,Rio de Janeiro,3304557,city,441078,6536.60481,1986,31763,91,0.072,6747815,False,False
202134,2021-08-25,538,RJ,Rio de Janeiro,3304557,city,439092,6507.17306,2041,31672,94,0.0721,6747815,False,False
202134,2021-08-24,537,RJ,Rio de Janeiro,3304557,city,437051,6476.92623,2276,31578,142,0.0723,6747815,False,False
202134,2021-08-23,536,RJ,Rio de Janeiro,3304557,city,434775,6443.1968,240,31436,4,0.0723,6747815,False,False
202134,2021-08-22,535,RJ,Rio de Janeiro,3304557,city,434535,6439.64009,570,31432,7,0.0723,6747815,False,False
202133,2021-08-21,534,RJ,Rio de Janeiro,3304557,city,433965,6431.19291,1833,31425,75,0.0724,6747815,False,False
202133,2021-08-20,533,RJ,Rio de Janeiro,3304557,city,432132,6404.02856,2398,31350,74,0.0725,6747815,False,False
202133,2021-08-19,532,RJ,Rio de Janeiro,3304557,city,429734,6368.49113,2610,31276,89,0.0728,6747815,False,False
202133,2021-08-18,531,RJ,Rio de Janeiro,3304557,city,427124,6329.81195,2649,31187,56,0.073,6747815,False,False
202133,2021-08-17,530,RJ,Rio de Janeiro,3304557,city,424475,6290.55479,2934,31131,59,0.0733,6747815,False,False
202133,2021-08-16,529,RJ,Rio de Janeiro,3304557,city,421541,6247.07405,1210,31072,4,0.0737,6747815,False,False
202133,2021-08-15,528,RJ,Rio de Janeiro,3304557,city,420331,6229.14232,26,31068,3,0.0739,6747815,False,False
202132,2021-08-14,527,RJ,Rio de Janeiro,3304557,city,420305,6228.75701,2294,31065,29,0.0739,6747815,False,False
202132,2021-08-13,526,RJ,Rio de Janeiro,3304557,city,418011,6194.76082,1434,31036,17,0.0742,6747815,False,False
202132,2021-08-12,525,RJ,Rio de Janeiro,3304557,city,416577,6173.5095,2053,31019,92,0.0745,6747815,False,False
202132,2021-08-11,524,RJ,Rio de Janeiro,3304557,city,414524,6143.08484,1923,30927,78,0.0746,6747815,False,False
202132,2021-08-10,523,RJ,Rio de Janeiro,3304557,city,412601,6114.58672,1916,30849,83,0.0748,6747815,False,False
202132,2021-08-09,522,RJ,Rio de Janeiro,3304557,city,410685,6086.19235,310,30766,5,0.0749,6747815,False,False
202132,2021-08-08,521,RJ,Rio de Janeiro,3304557,city,410375,6081.59827,494,30761,5,0.075,6747815,False,False
202131,2021-08-07,520,RJ,Rio de Janeiro,3304557,city,409881,6074.27738,2001,30756,48,0.075,6747815,False,False
202131,2021-08-06,519,RJ,Rio de Janeiro,3304557,city,407880,6044.62333,1909,30708,78,0.0753,6747815,False,False
202131,2021-08-05,518,RJ,Rio de Janeiro,3304557,city,405971,6016.33269,2367,30630,69,0.0754,6747815,False,False
202131,2021-08-04,517,RJ,Rio de Janeiro,3304557,city,403604,5981.25467,2084,30561,0,0.0757,6747815,False,False
202131,2021-08-03,516,RJ,Rio de Janeiro,3304557,city,401520,5950.3706,1990,30561,55,0.0761,6747815,False,False
202131,2021-08-02,515,RJ,Rio de Janeiro,3304557,city,399530,5920.87957,304,30506,69,0.0764,6747815,False,False
202131,2021-08-01,514,RJ,Rio de Janeiro,3304557,city,399226,5916.37441,390,30437,8,0.0762,6747815,False,False
